Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Not Hispanic or Latino,Hispanic or Latino,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Two or More Races Including Some Other Race,"Two or More Races Excluding Some Other Race, and Three or More Races"
18623,2489.0,47.2,43989.0,22618.0,359.0,14.423463238248292,2429.0,60.0,2453.0,7.0,0.0,5.0,0.0,14.0,10.0,0.0,10.0
18624,656.0,47.1,61563.0,34485.0,13.0,1.9817073170731707,656.0,0.0,646.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
18625,452.0,56.1,55078.0,32975.0,31.0,6.8584070796460175,452.0,0.0,422.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0
18626,676.0,54.8,53333.0,26711.0,94.0,13.905325443786982,674.0,2.0,654.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
18628,291.0,53.1,40625.0,23538.0,32.0,10.996563573883162,289.0,2.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18629,1694.0,46.7,48787.0,23981.0,180.0,10.625737898465172,1659.0,35.0,1663.0,2.0,3.0,9.0,0.0,8.0,9.0,0.0,9.0
18630,3325.0,38.6,49808.0,24959.0,499.0,15.007518796992482,3243.0,82.0,3285.0,2.0,0.0,2.0,0.0,6.0,30.0,0.0,30.0
18631,1380.0,49.5,58791.0,28561.0,64.0,4.63768115942029,1272.0,108.0,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18632,403.0,51.0,36406.0,26556.0,6.0,1.488833746898263,389.0,14.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18634,13752.0,44.0,37220.0,21710.0,2565.0,18.651832460732983,13503.0,249.0,13259.0,202.0,4.0,130.0,0.0,38.0,119.0,18.0,101.0
18635,4049.0,44.4,45651.0,23664.0,378.0,9.335638429241788,3884.0,165.0,3883.0,18.0,0.0,13.0,0.0,34.0,101.0,4.0,97.0
18636,1507.0,44.0,54569.0,24908.0,141.0,9.35633709356337,1475.0,32.0,1452.0,0.0,17.0,0.0,0.0,8.0,30.0,24.0,6.0
18640,17219.0,45.5,44152.0,26850.0,2202.0,12.788199082408967,16902.0,317.0,16757.0,102.0,0.0,48.0,0.0,182.0,130.0,2.0,128.0
18641,7378.0,43.9,46379.0,24538.0,1132.0,15.342911358091623,7348.0,30.0,7033.0,0.0,0.0,97.0,0.0,0.0,248.0,0.0,248.0
18642,3887.0,43.0,42139.0,26017.0,392.0,10.08489837921276,3786.0,101.0,3869.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18643,12555.0,45.1,50817.0,28992.0,1619.0,12.8952608522501,12054.0,501.0,12312.0,160.0,0.0,36.0,0.0,0.0,47.0,32.0,15.0
18644,7195.0,46.5,48576.0,31477.0,819.0,11.382904794996525,7129.0,66.0,7075.0,13.0,51.0,38.0,0.0,3.0,15.0,0.0,15.0
18651,8587.0,42.9,34250.0,20256.0,1892.0,22.03330616047514,8461.0,126.0,8108.0,137.0,0.0,115.0,0.0,31.0,196.0,10.0,186.0
18653,114.0,32.3,41667.0,19475.0,5.0,4.385964912280702,114.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18655,6471.0,43.4,48542.0,23326.0,668.0,10.32297944676248,6356.0,115.0,6403.0,30.0,15.0,3.0,0.0,14.0,6.0,0.0,6.0
18656,2404.0,42.4,54615.0,25473.0,255.0,10.607321131447588,2404.0,0.0,2371.0,0.0,0.0,0.0,11.0,0.0,22.0,0.0,22.0
18657,12270.0,42.4,50278.0,25371.0,1535.0,12.510187449062755,12147.0,123.0,11908.0,126.0,0.0,81.0,0.0,34.0,121.0,0.0,121.0
18660,3254.0,45.2,53125.0,25319.0,158.0,4.855562384757222,3208.0,46.0,3222.0,1.0,3.0,0.0,0.0,15.0,13.0,0.0,13.0
18661,5332.0,48.4,44919.0,25361.0,546.0,10.24006001500375,5257.0,75.0,5096.0,67.0,3.0,107.0,0.0,24.0,35.0,0.0,35.0
18701,3198.0,21.0,15227.0,9771.0,670.0,20.950594121325828,3088.0,110.0,2850.0,204.0,7.0,40.0,0.0,46.0,51.0,2.0,49.0
18702,41119.0,37.2,37212.0,21122.0,9508.0,23.1231304263236,36599.0,4520.0,32363.0,5050.0,138.0,800.0,30.0,1689.0,1049.0,103.0,946.0
18704,31356.0,44.8,47977.0,26762.0,4755.0,15.164561806352852,30807.0,549.0,29358.0,1124.0,77.0,365.0,0.0,75.0,357.0,21.0,336.0
18705,14066.0,44.0,38834.0,22929.0,2553.0,18.150149296175176,13122.0,944.0,12892.0,541.0,14.0,79.0,0.0,227.0,313.0,193.0,120.0
18706,16176.0,44.8,39239.0,23837.0,2435.0,15.053165182987142,15874.0,302.0,15551.0,268.0,22.0,172.0,0.0,17.0,146.0,36.0,110.0
18707,15939.0,42.5,75613.0,34007.0,510.0,3.199698851872765,15782.0,157.0,15439.0,95.0,31.0,267.0,0.0,12.0,95.0,0.0,95.0
18708,10121.0,41.9,75254.0,33285.0,427.0,4.218950696571485,9881.0,240.0,9337.0,617.0,13.0,31.0,0.0,48.0,75.0,4.0,71.0
18709,2910.0,36.6,31667.0,20642.0,735.0,25.257731958762886,2799.0,111.0,2710.0,136.0,0.0,45.0,0.0,0.0,19.0,1.0,18.0
18801,8701.0,46.0,49944.0,25038.0,959.0,11.021721641190668,8436.0,265.0,8458.0,56.0,20.0,5.0,0.0,49.0,113.0,6.0,107.0
18810,5876.0,42.6,43193.0,22259.0,942.0,16.03131381892444,5748.0,128.0,5789.0,10.0,0.0,0.0,0.0,15.0,62.0,0.0,62.0
18812,1566.0,49.5,65556.0,31229.0,68.0,4.342273307790549,1563.0,3.0,1546.0,0.0,0.0,6.0,0.0,0.0,14.0,0.0,14.0
18814,172.0,25.5,44688.0,15393.0,8.0,4.651162790697675,139.0,33.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18816,169.0,34.1,42188.0,21167.0,0.0,0.0,169.0,0.0,157.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18817,207.0,39.6,35781.0,21149.0,48.0,23.18840579710145,207.0,0.0,201.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
