County,State,Date,Total Labor,Employed,Unemployed,Rate
Knox County,MO,Oct-19,1823,1787,36,2
Laclede County,MO,Oct-19,17909,16227,1682,9.4
Lafayette County,MO,Oct-19,17009,16590,419,2.5
Lawrence County,MO,Oct-19,18274,17766,508,2.8
Lewis County,MO,Oct-19,5088,4957,131,2.6
Lincoln County,MO,Oct-19,28737,27814,923,3.2
Linn County,MO,Oct-19,5238,5050,188,3.6
Livingston County,MO,Oct-19,7432,7268,164,2.2
McDonald County,MO,Oct-19,10867,10573,294,2.7
Macon County,MO,Oct-19,7609,7425,184,2.4
Madison County,MO,Oct-19,5504,5361,143,2.6
Maries County,MO,Oct-19,3936,3824,112,2.8
Marion County,MO,Oct-19,14670,14292,378,2.6
Mercer County,MO,Oct-19,1964,1926,38,1.9
Miller County,MO,Oct-19,12445,12043,402,3.2
Mississippi County,MO,Oct-19,5867,5685,182,3.1
Moniteau County,MO,Oct-19,7366,7205,161,2.2
Monroe County,MO,Oct-19,3959,3828,131,3.3
Montgomery County,MO,Oct-19,5900,5712,188,3.2
Morgan County,MO,Oct-19,8215,7917,298,3.6
New Madrid County,MO,Oct-19,8353,8068,285,3.4
Newton County,MO,Oct-19,27588,26836,752,2.7
Nodaway County,MO,Oct-19,11109,10874,235,2.1
Oregon County,MO,Oct-19,4087,3947,140,3.4
Osage County,MO,Oct-19,7173,7030,143,2
Ozark County,MO,Oct-19,3443,3283,160,4.6
Pemiscot County,MO,Oct-19,6374,6125,249,3.9
Perry County,MO,Oct-19,10050,9842,208,2.1
Pettis County,MO,Oct-19,21168,20597,571,2.7
Phelps County,MO,Oct-19,19864,19335,529,2.7
Pike County,MO,Oct-19,7528,7297,231,3.1
Platte County,MO,Oct-19,59202,57823,1379,2.3
Polk County,MO,Oct-19,14799,14339,460,3.1
Pulaski County,MO,Oct-19,14708,14168,540,3.7
Putnam County,MO,Oct-19,2331,2266,65,2.8
Ralls County,MO,Oct-19,5715,5579,136,2.4
Randolph County,MO,Oct-19,10475,10155,320,3.1
Ray County,MO,Oct-19,11089,10768,321,2.9
Reynolds County,MO,Oct-19,3056,2961,95,3.1
Ripley County,MO,Oct-19,5069,4881,188,3.7
St. Charles County,MO,Oct-19,228399,223263,5136,2.2
St. Clair County,MO,Oct-19,3796,3656,140,3.7
Ste. Genevieve County,MO,Oct-19,9243,9053,190,2.1
St. Francois County,MO,Oct-19,26571,25777,794,3
St. Louis County,MO,Oct-19,535475,521425,14050,2.6
Saline County,MO,Oct-19,10711,10458,253,2.4
Schuyler County,MO,Oct-19,2012,1932,80,4
Scotland County,MO,Oct-19,2479,2417,62,2.5
Scott County,MO,Oct-19,20146,19540,606,3
Shannon County,MO,Oct-19,3306,3163,143,4.3
Shelby County,MO,Oct-19,3141,3081,60,1.9
Stoddard County,MO,Oct-19,13284,12784,500,3.8
Stone County,MO,Oct-19,13910,13477,433,3.1
Sullivan County,MO,Oct-19,2724,2641,83,3
Taney County,MO,Oct-19,27082,26247,835,3.1
Texas County,MO,Oct-19,9242,8904,338,3.7
Vernon County,MO,Oct-19,9596,9329,267,2.8
Warren County,MO,Oct-19,18136,17648,488,2.7
Washington County,MO,Oct-19,10247,9899,348,3.4
Wayne County,MO,Oct-19,5284,5096,188,3.6
Webster County,MO,Oct-19,17511,16952,559,3.2
Worth County,MO,Oct-19,1211,1188,23,1.9
Wright County,MO,Oct-19,7760,7353,407,5.2
St. Louis city,MO,Oct-19,153435,148387,5048,3.3
Allen County,KS,Nov-19,6400,6206,194,3
Anderson County,KS,Nov-19,4214,4101,113,2.7
Atchison County,KS,Nov-19,7041,6678,363,5.2
Barber County,KS,Nov-19,2369,2300,69,2.9
Barton County,KS,Nov-19,13385,13010,375,2.8
Bourbon County,KS,Nov-19,6635,6397,238,3.6
Brown County,KS,Nov-19,5355,5202,153,2.9
Butler County,KS,Nov-19,32651,31674,977,3
Chase County,KS,Nov-19,1510,1477,33,2.2
Chautauqua County,KS,Nov-19,1462,1409,53,3.6
Cherokee County,KS,Nov-19,10205,9904,301,2.9
Cheyenne County,KS,Nov-19,1349,1319,30,2.2
Clark County,KS,Nov-19,1118,1093,25,2.2
Clay County,KS,Nov-19,3824,3724,100,2.6
Cloud County,KS,Nov-19,3822,3713,109,2.9
Coffey County,KS,Nov-19,4171,4004,167,4
Comanche County,KS,Nov-19,890,865,25,2.8
Cowley County,KS,Nov-19,16388,15871,517,3.2
Crawford County,KS,Nov-19,18851,18159,692,3.7
Decatur County,KS,Nov-19,1277,1238,39,3.1
Dickinson County,KS,Nov-19,8870,8604,266,3
Doniphan County,KS,Nov-19,4167,4039,128,3.1
Douglas County,KS,Nov-19,67073,65294,1779,2.7
Edwards County,KS,Nov-19,1589,1554,35,2.2
Elk County,KS,Nov-19,1197,1160,37,3.1
Ellis County,KS,Nov-19,17301,16951,350,2
Ellsworth County,KS,Nov-19,2740,2675,65,2.4
Finney County,KS,Nov-19,20803,20356,447,2.1
Ford County,KS,Nov-19,17204,16812,392,2.3
Franklin County,KS,Nov-19,14189,13786,403,2.8
Geary County,KS,Nov-19,11449,11000,449,3.9
Gove County,KS,Nov-19,1496,1466,30,2
Graham County,KS,Nov-19,1133,1100,33,2.9
Grant County,KS,Nov-19,3259,3169,90,2.8
Gray County,KS,Nov-19,3348,3281,67,2
Greeley County,KS,Nov-19,798,782,16,2
Greenwood County,KS,Nov-19,3352,3262,90,2.7
Hamilton County,KS,Nov-19,1673,1645,28,1.7
Harper County,KS,Nov-19,2862,2790,72,2.5
Harvey County,KS,Nov-19,17096,16628,468,2.7
Haskell County,KS,Nov-19,2218,2176,42,1.9
Hodgeman County,KS,Nov-19,1027,1002,25,2.4
Jackson County,KS,Nov-19,7123,6949,174,2.4
Jefferson County,KS,Nov-19,10060,9782,278,2.8
Jewell County,KS,Nov-19,1282,1247,35,2.7
Johnson County,KS,Nov-19,341329,332762,8567,2.5
Kearny County,KS,Nov-19,2095,2051,44,2.1
Kingman County,KS,Nov-19,3477,3373,104,3
Kiowa County,KS,Nov-19,1339,1311,28,2.1
Labette County,KS,Nov-19,9974,9622,352,3.5
Lane County,KS,Nov-19,796,777,19,2.4
Leavenworth County,KS,Nov-19,36715,35589,1126,3.1
Lincoln County,KS,Nov-19,1763,1733,30,1.7
Linn County,KS,Nov-19,4459,4232,227,5.1
Logan County,KS,Nov-19,1661,1633,28,1.7
Lyon County,KS,Nov-19,16768,16268,500,3
McPherson County,KS,Nov-19,17171,16823,348,2
Marion County,KS,Nov-19,6085,5920,165,2.7
Marshall County,KS,Nov-19,5537,5405,132,2.4
Meade County,KS,Nov-19,2149,2103,46,2.1
Miami County,KS,Nov-19,17575,17075,500,2.8
Mitchell County,KS,Nov-19,3297,3228,69,2.1
Montgomery County,KS,Nov-19,14809,14207,602,4.1
Morris County,KS,Nov-19,3064,2974,90,2.9
Morton County,KS,Nov-19,1168,1140,28,2.4
Nemaha County,KS,Nov-19,5406,5263,143,2.6
Neosho County,KS,Nov-19,6210,5944,266,4.3
Ness County,KS,Nov-19,1361,1328,33,2.4
Norton County,KS,Nov-19,2717,2666,51,1.9
Osage County,KS,Nov-19,7947,7688,259,3.3
Osborne County,KS,Nov-19,2100,2063,37,1.8
Ottawa County,KS,Nov-19,3037,2961,76,2.5
Pawnee County,KS,Nov-19,2895,2821,74,2.6
Phillips County,KS,Nov-19,2656,2593,63,2.4
Pottawatomie County,KS,Nov-19,12840,12530,310,2.4
Pratt County,KS,Nov-19,4964,4853,111,2.2
Rawlins County,KS,Nov-19,1532,1499,33,2.2
Reno County,KS,Nov-19,29738,28860,878,3
Republic County,KS,Nov-19,2304,2246,58,2.5
Rice County,KS,Nov-19,5195,5065,130,2.5
Riley County,KS,Nov-19,36289,35370,919,2.5
Rooks County,KS,Nov-19,2583,2509,74,2.9
Rush County,KS,Nov-19,1641,1604,37,2.3
Russell County,KS,Nov-19,3294,3208,86,2.6
Saline County,KS,Nov-19,30212,29380,832,2.8
Scott County,KS,Nov-19,2897,2848,49,1.7
Sedgwick County,KS,Nov-19,252101,244039,8062,3.2
Seward County,KS,Nov-19,9458,9190,268,2.8
Shawnee County,KS,Nov-19,89887,87094,2793,3.1
Sheridan County,KS,Nov-19,1437,1407,30,2.1
Sherman County,KS,Nov-19,2835,2754,81,2.9
Smith County,KS,Nov-19,1995,1949,46,2.3
Stafford County,KS,Nov-19,2088,2032,56,2.7
Stanton County,KS,Nov-19,1005,980,25,2.5
Stevens County,KS,Nov-19,2576,2511,65,2.5
Sumner County,KS,Nov-19,10962,10638,324,3
Thomas County,KS,Nov-19,4363,4271,92,2.1
Trego County,KS,Nov-19,1457,1420,37,2.5
Wabaunsee County,KS,Nov-19,3654,3543,111,3
Wallace County,KS,Nov-19,815,794,21,2.6
Washington County,KS,Nov-19,2966,2910,56,1.9
Wichita County,KS,Nov-19,1251,1225,26,2.1
Wilson County,KS,Nov-19,3999,3846,153,3.8
Woodson County,KS,Nov-19,1576,1516,60,3.8
Wyandotte County,KS,Nov-19,77574,74665,2909,3.7
Adair County,MO,Nov-19,10433,10105,328,3.1
Andrew County,MO,Nov-19,9764,9540,224,2.3
Atchison County,MO,Nov-19,2677,2596,81,3
Audrain County,MO,Nov-19,10678,10351,327,3.1
Barry County,MO,Nov-19,15536,14984,552,3.6
Barton County,MO,Nov-19,5193,5031,162,3.1
Bates County,MO,Nov-19,7887,7630,257,3.3
Benton County,MO,Nov-19,7210,6878,332,4.6
Bollinger County,MO,Nov-19,5525,5311,214,3.9
Boone County,MO,Nov-19,99976,97734,2242,2.2
Buchanan County,MO,Nov-19,44757,43534,1223,2.7
Butler County,MO,Nov-19,18002,17313,689,3.8
Caldwell County,MO,Nov-19,4381,4249,132,3
Callaway County,MO,Nov-19,21355,20778,577,2.7
Camden County,MO,Nov-19,18275,17406,869,4.8
Cape Girardeau County,MO,Nov-19,41300,40080,1220,3
Carroll County,MO,Nov-19,4741,4573,168,3.5
Carter County,MO,Nov-19,2514,2413,101,4
Cass County,MO,Nov-19,55217,53720,1497,2.7
Cedar County,MO,Nov-19,5770,5559,211,3.7
Chariton County,MO,Nov-19,3766,3659,107,2.8
Christian County,MO,Nov-19,45464,44270,1194,2.6
Clark County,MO,Nov-19,3199,3096,103,3.2
Clay County,MO,Nov-19,137536,133935,3601,2.6
Clinton County,MO,Nov-19,10746,10480,266,2.5
Cole County,MO,Nov-19,39092,38118,974,2.5
Cooper County,MO,Nov-19,7556,7318,238,3.1
Crawford County,MO,Nov-19,10985,10559,426,3.9
Dade County,MO,Nov-19,3553,3450,103,2.9
Dallas County,MO,Nov-19,7170,6807,363,5.1
Daviess County,MO,Nov-19,4098,3975,123,3
DeKalb County,MO,Nov-19,4814,4691,123,2.6
Dent County,MO,Nov-19,6301,6080,221,3.5
Douglas County,MO,Nov-19,5078,4834,244,4.8
Dunklin County,MO,Nov-19,11408,10867,541,4.7
Franklin County,MO,Nov-19,53505,51881,1624,3
Gasconade County,MO,Nov-19,7733,7493,240,3.1
Gentry County,MO,Nov-19,3464,3370,94,2.7
Greene County,MO,Nov-19,153203,149009,4194,2.7
Grundy County,MO,Nov-19,4417,4252,165,3.7
Harrison County,MO,Nov-19,3780,3672,108,2.9
Henry County,MO,Nov-19,9702,9378,324,3.3
Hickory County,MO,Nov-19,3806,3657,149,3.9
Holt County,MO,Nov-19,2545,2486,59,2.3
Howard County,MO,Nov-19,4928,4788,140,2.8
Howell County,MO,Nov-19,16755,16031,724,4.3
Iron County,MO,Nov-19,3499,3349,150,4.3
Jackson County,MO,Nov-19,365901,353495,12406,3.4
Jasper County,MO,Nov-19,57883,56188,1695,2.9
Jefferson County,MO,Nov-19,118964,115469,3495,2.9
Johnson County,MO,Nov-19,23430,22618,812,3.5
Knox County,MO,Nov-19,1764,1721,43,2.4
Laclede County,MO,Nov-19,17589,16017,1572,8.9
Lafayette County,MO,Nov-19,16908,16422,486,2.9
Lawrence County,MO,Nov-19,18122,17496,626,3.5
Lewis County,MO,Nov-19,4984,4838,146,2.9
Lincoln County,MO,Nov-19,28521,27673,848,3
Linn County,MO,Nov-19,5182,4951,231,4.5
Livingston County,MO,Nov-19,7283,7095,188,2.6
McDonald County,MO,Nov-19,10849,10489,360,3.3
Macon County,MO,Nov-19,7537,7314,223,3
Madison County,MO,Nov-19,5480,5301,179,3.3
Maries County,MO,Nov-19,3901,3771,130,3.3
Marion County,MO,Nov-19,14828,14393,435,2.9
Mercer County,MO,Nov-19,1859,1808,51,2.7
Miller County,MO,Nov-19,12291,11829,462,3.8
Mississippi County,MO,Nov-19,5760,5540,220,3.8
Moniteau County,MO,Nov-19,7269,7071,198,2.7
Monroe County,MO,Nov-19,3922,3763,159,4.1
Montgomery County,MO,Nov-19,5740,5582,158,2.8
Morgan County,MO,Nov-19,8045,7698,347,4.3
New Madrid County,MO,Nov-19,8211,7873,338,4.1
Newton County,MO,Nov-19,27597,26743,854,3.1
Nodaway County,MO,Nov-19,10983,10697,286,2.6
Oregon County,MO,Nov-19,4020,3870,150,3.7
Osage County,MO,Nov-19,7094,6931,163,2.3
Ozark County,MO,Nov-19,3365,3174,191,5.7
Pemiscot County,MO,Nov-19,6318,6033,285,4.5
Perry County,MO,Nov-19,10014,9748,266,2.7
Pettis County,MO,Nov-19,21276,20400,876,4.1
Phelps County,MO,Nov-19,19915,19289,626,3.1
Pike County,MO,Nov-19,7483,7227,256,3.4
Platte County,MO,Nov-19,59208,57757,1451,2.5
Polk County,MO,Nov-19,14665,14220,445,3
Pulaski County,MO,Nov-19,14780,14151,629,4.3
Putnam County,MO,Nov-19,2237,2172,65,2.9
Ralls County,MO,Nov-19,5745,5583,162,2.8
Randolph County,MO,Nov-19,10513,10117,396,3.8
Ray County,MO,Nov-19,11067,10720,347,3.1
Reynolds County,MO,Nov-19,2992,2882,110,3.7
Ripley County,MO,Nov-19,4990,4780,210,4.2
St. Charles County,MO,Nov-19,228381,222847,5534,2.4
St. Clair County,MO,Nov-19,3711,3566,145,3.9
Ste. Genevieve County,MO,Nov-19,9178,8938,240,2.6
St. Francois County,MO,Nov-19,26717,25766,951,3.6
St. Louis County,MO,Nov-19,536436,520839,15597,2.9
Saline County,MO,Nov-19,10595,10260,335,3.2
Schuyler County,MO,Nov-19,1943,1875,68,3.5
Scotland County,MO,Nov-19,2386,2325,61,2.6
Scott County,MO,Nov-19,19960,19274,686,3.4
Shannon County,MO,Nov-19,3197,3016,181,5.7
Shelby County,MO,Nov-19,3060,2983,77,2.5
Stoddard County,MO,Nov-19,13009,12481,528,4.1
Stone County,MO,Nov-19,13924,13379,545,3.9
Sullivan County,MO,Nov-19,2640,2558,82,3.1
Taney County,MO,Nov-19,27038,26112,926,3.4
Texas County,MO,Nov-19,9064,8671,393,4.3
Vernon County,MO,Nov-19,9407,9095,312,3.3
Warren County,MO,Nov-19,18056,17563,493,2.7
Washington County,MO,Nov-19,10236,9807,429,4.2
Wayne County,MO,Nov-19,5259,5044,215,4.1
Webster County,MO,Nov-19,17452,16828,624,3.6
Worth County,MO,Nov-19,1166,1139,27,2.3
Wright County,MO,Nov-19,7565,7147,418,5.5
St. Louis city,MO,Nov-19,153834,148255,5579,3.6
Allen County,KS,Dec-19,6386,6175,211,3.3
Anderson County,KS,Dec-19,4219,4104,115,2.7
Atchison County,KS,Dec-19,6996,6659,337,4.8
Barber County,KS,Dec-19,2373,2309,64,2.7
Barton County,KS,Dec-19,13337,12916,421,3.2
Bourbon County,KS,Dec-19,6637,6390,247,3.7
Brown County,KS,Dec-19,5365,5213,152,2.8
Butler County,KS,Dec-19,32601,31602,999,3.1
Chase County,KS,Dec-19,1523,1482,41,2.7
Chautauqua County,KS,Dec-19,1460,1411,49,3.4
Cherokee County,KS,Dec-19,10159,9872,287,2.8
Cheyenne County,KS,Dec-19,1390,1361,29,2.1
Clark County,KS,Dec-19,1117,1092,25,2.2
Clay County,KS,Dec-19,3842,3737,105,2.7
Cloud County,KS,Dec-19,3796,3688,108,2.8
Coffey County,KS,Dec-19,4169,3991,178,4.3
Comanche County,KS,Dec-19,885,861,24,2.7
Cowley County,KS,Dec-19,16296,15775,521,3.2
Crawford County,KS,Dec-19,18698,18054,644,3.4
Decatur County,KS,Dec-19,1294,1258,36,2.8
Dickinson County,KS,Dec-19,8826,8545,281,3.2
Doniphan County,KS,Dec-19,4142,4025,117,2.8
Douglas County,KS,Dec-19,66297,64601,1696,2.6
Edwards County,KS,Dec-19,1624,1594,30,1.8
Elk County,KS,Dec-19,1208,1176,32,2.6
Ellis County,KS,Dec-19,17177,16830,347,2
Ellsworth County,KS,Dec-19,2747,2683,64,2.3
Finney County,KS,Dec-19,20752,20336,416,2
Ford County,KS,Dec-19,17142,16772,370,2.2
Franklin County,KS,Dec-19,14068,13677,391,2.8
Geary County,KS,Dec-19,11328,10885,443,3.9
Gove County,KS,Dec-19,1521,1491,30,2
Graham County,KS,Dec-19,1123,1089,34,3
Grant County,KS,Dec-19,3247,3166,81,2.5
Gray County,KS,Dec-19,3340,3276,64,1.9
Greeley County,KS,Dec-19,810,793,17,2.1
Greenwood County,KS,Dec-19,3453,3352,101,2.9
Hamilton County,KS,Dec-19,1686,1657,29,1.7
Harper County,KS,Dec-19,2862,2791,71,2.5
Harvey County,KS,Dec-19,17034,16594,440,2.6
Haskell County,KS,Dec-19,2240,2199,41,1.8
Hodgeman County,KS,Dec-19,1026,999,27,2.6
Jackson County,KS,Dec-19,7106,6925,181,2.5
Jefferson County,KS,Dec-19,10038,9749,289,2.9
Jewell County,KS,Dec-19,1287,1255,32,2.5
Johnson County,KS,Dec-19,340790,332435,8355,2.5
Kearny County,KS,Dec-19,2096,2054,42,2
Kingman County,KS,Dec-19,3475,3375,100,2.9
Kiowa County,KS,Dec-19,1340,1310,30,2.2
Labette County,KS,Dec-19,9953,9616,337,3.4
Lane County,KS,Dec-19,817,797,20,2.4
Leavenworth County,KS,Dec-19,36699,35558,1141,3.1
Lincoln County,KS,Dec-19,1755,1719,36,2.1
Linn County,KS,Dec-19,4485,4231,254,5.7
Logan County,KS,Dec-19,1686,1657,29,1.7
Lyon County,KS,Dec-19,16695,16172,523,3.1
McPherson County,KS,Dec-19,17200,16852,348,2
Marion County,KS,Dec-19,6073,5914,159,2.6
Marshall County,KS,Dec-19,5526,5391,135,2.4
Meade County,KS,Dec-19,2188,2144,44,2
Miami County,KS,Dec-19,17600,17059,541,3.1
Mitchell County,KS,Dec-19,3286,3217,69,2.1
Montgomery County,KS,Dec-19,14691,14089,602,4.1
Morris County,KS,Dec-19,3050,2967,83,2.7
Morton County,KS,Dec-19,1153,1123,30,2.6
Nemaha County,KS,Dec-19,5437,5297,140,2.6
Neosho County,KS,Dec-19,6185,5926,259,4.2
Ness County,KS,Dec-19,1370,1334,36,2.6
Norton County,KS,Dec-19,2705,2651,54,2
Osage County,KS,Dec-19,7936,7665,271,3.4
Osborne County,KS,Dec-19,2102,2065,37,1.8
Ottawa County,KS,Dec-19,3030,2957,73,2.4
Pawnee County,KS,Dec-19,2925,2851,74,2.5
Phillips County,KS,Dec-19,2662,2601,61,2.3
Pottawatomie County,KS,Dec-19,12600,12292,308,2.4
Pratt County,KS,Dec-19,4955,4850,105,2.1
Rawlins County,KS,Dec-19,1544,1514,30,1.9
Reno County,KS,Dec-19,29548,28699,849,2.9
Republic County,KS,Dec-19,2302,2251,51,2.2
Rice County,KS,Dec-19,5214,5087,127,2.4
Riley County,KS,Dec-19,35513,34654,859,2.4
Rooks County,KS,Dec-19,2550,2474,76,3
Rush County,KS,Dec-19,1658,1619,39,2.4
Russell County,KS,Dec-19,3297,3206,91,2.8
Saline County,KS,Dec-19,30033,29184,849,2.8
Scott County,KS,Dec-19,2933,2881,52,1.8
Sedgwick County,KS,Dec-19,251488,243395,8093,3.2
Seward County,KS,Dec-19,9427,9168,259,2.7
Shawnee County,KS,Dec-19,89595,86710,2885,3.2
Sheridan County,KS,Dec-19,1454,1424,30,2.1
Sherman County,KS,Dec-19,2842,2768,74,2.6
Smith County,KS,Dec-19,2011,1962,49,2.4
Stafford County,KS,Dec-19,2112,2058,54,2.6
Stanton County,KS,Dec-19,1023,998,25,2.4
Stevens County,KS,Dec-19,2552,2491,61,2.4
Sumner County,KS,Dec-19,10949,10624,325,3
Thomas County,KS,Dec-19,4327,4246,81,1.9
Trego County,KS,Dec-19,1449,1412,37,2.6
Wabaunsee County,KS,Dec-19,3644,3537,107,2.9
Wallace County,KS,Dec-19,812,793,19,2.3
Washington County,KS,Dec-19,3006,2949,57,1.9
Wichita County,KS,Dec-19,1245,1221,24,1.9
Wilson County,KS,Dec-19,3982,3823,159,4
Woodson County,KS,Dec-19,1610,1544,66,4.1
Wyandotte County,KS,Dec-19,77490,74592,2898,3.7
Adair County,MO,Dec-19,10369,10030,339,3.3
Andrew County,MO,Dec-19,9789,9528,261,2.7
Atchison County,MO,Dec-19,2662,2573,89,3.3
Audrain County,MO,Dec-19,10678,10333,345,3.2
Barry County,MO,Dec-19,15483,14889,594,3.8
Barton County,MO,Dec-19,5192,5013,179,3.4
Bates County,MO,Dec-19,7893,7595,298,3.8
Benton County,MO,Dec-19,7185,6838,347,4.8
Bollinger County,MO,Dec-19,5531,5317,214,3.9
Boone County,MO,Dec-19,99481,97069,2412,2.4
Buchanan County,MO,Dec-19,44825,43455,1370,3.1
Butler County,MO,Dec-19,18276,17416,860,4.7
Caldwell County,MO,Dec-19,4368,4228,140,3.2
Callaway County,MO,Dec-19,21220,20573,647,3
Camden County,MO,Dec-19,18301,17164,1137,6.2
Cape Girardeau County,MO,Dec-19,41392,40164,1228,3
Carroll County,MO,Dec-19,4714,4543,171,3.6
Carter County,MO,Dec-19,2554,2432,122,4.8
Cass County,MO,Dec-19,55207,53529,1678,3
Cedar County,MO,Dec-19,5750,5547,203,3.5
Chariton County,MO,Dec-19,3797,3667,130,3.4
Christian County,MO,Dec-19,45463,44188,1275,2.8
Clark County,MO,Dec-19,3197,3075,122,3.8
Clay County,MO,Dec-19,137324,133415,3909,2.8
Clinton County,MO,Dec-19,10755,10427,328,3
Cole County,MO,Dec-19,38822,37767,1055,2.7
Cooper County,MO,Dec-19,7526,7273,253,3.4
Crawford County,MO,Dec-19,10985,10510,475,4.3
Dade County,MO,Dec-19,3533,3415,118,3.3
Dallas County,MO,Dec-19,7189,6780,409,5.7
Daviess County,MO,Dec-19,4071,3937,134,3.3
DeKalb County,MO,Dec-19,4815,4670,145,3
Dent County,MO,Dec-19,6304,6047,257,4.1
Douglas County,MO,Dec-19,5153,4843,310,6
Dunklin County,MO,Dec-19,11424,10780,644,5.6
Franklin County,MO,Dec-19,53487,51644,1843,3.4
Gasconade County,MO,Dec-19,7695,7423,272,3.5
Gentry County,MO,Dec-19,3464,3365,99,2.9
Greene County,MO,Dec-19,153178,148575,4603,3
Grundy County,MO,Dec-19,4407,4244,163,3.7
Harrison County,MO,Dec-19,3777,3649,128,3.4
Henry County,MO,Dec-19,9722,9377,345,3.5
Hickory County,MO,Dec-19,3802,3626,176,4.6
Holt County,MO,Dec-19,2534,2470,64,2.5
Howard County,MO,Dec-19,4917,4773,144,2.9
Howell County,MO,Dec-19,16898,16078,820,4.9
Iron County,MO,Dec-19,3532,3349,183,5.2
Jackson County,MO,Dec-19,365774,352321,13453,3.7
Jasper County,MO,Dec-19,58049,56206,1843,3.2
Jefferson County,MO,Dec-19,118932,115032,3900,3.3
Johnson County,MO,Dec-19,23201,22369,832,3.6
Knox County,MO,Dec-19,1777,1724,53,3
Laclede County,MO,Dec-19,17760,15981,1779,10
Lafayette County,MO,Dec-19,16849,16331,518,3.1
Lawrence County,MO,Dec-19,18027,17358,669,3.7
Lewis County,MO,Dec-19,5004,4841,163,3.3
Lincoln County,MO,Dec-19,28476,27532,944,3.3
Linn County,MO,Dec-19,5150,4893,257,5
Livingston County,MO,Dec-19,7328,7128,200,2.7
McDonald County,MO,Dec-19,10864,10485,379,3.5
Macon County,MO,Dec-19,7594,7330,264,3.5
Madison County,MO,Dec-19,5509,5301,208,3.8
Maries County,MO,Dec-19,3902,3763,139,3.6
Marion County,MO,Dec-19,14724,14258,466,3.2
Mercer County,MO,Dec-19,1852,1794,58,3.1
Miller County,MO,Dec-19,12307,11770,537,4.4
Mississippi County,MO,Dec-19,5784,5534,250,4.3
Moniteau County,MO,Dec-19,7193,6984,209,2.9
Monroe County,MO,Dec-19,3906,3733,173,4.4
Montgomery County,MO,Dec-19,5730,5553,177,3.1
Morgan County,MO,Dec-19,8131,7737,394,4.8
New Madrid County,MO,Dec-19,8232,7853,379,4.6
Newton County,MO,Dec-19,27615,26731,884,3.2
Nodaway County,MO,Dec-19,10953,10661,292,2.7
Oregon County,MO,Dec-19,4043,3858,185,4.6
Osage County,MO,Dec-19,7027,6862,165,2.3
Ozark County,MO,Dec-19,3371,3118,253,7.5
Pemiscot County,MO,Dec-19,6354,5995,359,5.6
Perry County,MO,Dec-19,10061,9786,275,2.7
Pettis County,MO,Dec-19,21095,20388,707,3.4
Phelps County,MO,Dec-19,19934,19258,676,3.4
Pike County,MO,Dec-19,7504,7225,279,3.7
Platte County,MO,Dec-19,59109,57523,1586,2.7
Polk County,MO,Dec-19,14680,14202,478,3.3
Pulaski County,MO,Dec-19,14715,14022,693,4.7
Putnam County,MO,Dec-19,2225,2150,75,3.4
Ralls County,MO,Dec-19,5708,5529,179,3.1
Randolph County,MO,Dec-19,10528,10107,421,4
Ray County,MO,Dec-19,11062,10676,386,3.5
Reynolds County,MO,Dec-19,2996,2871,125,4.2
Ripley County,MO,Dec-19,5026,4777,249,5
St. Charles County,MO,Dec-19,227773,221693,6080,2.7
St. Clair County,MO,Dec-19,3748,3572,176,4.7
Ste. Genevieve County,MO,Dec-19,9171,8907,264,2.9
St. Francois County,MO,Dec-19,26896,25788,1108,4.1
St. Louis County,MO,Dec-19,535325,518621,16704,3.1
Saline County,MO,Dec-19,10566,10221,345,3.3
Schuyler County,MO,Dec-19,1932,1860,72,3.7
Scotland County,MO,Dec-19,2365,2310,55,2.3
Scott County,MO,Dec-19,20054,19310,744,3.7
Shannon County,MO,Dec-19,3209,3000,209,6.5
Shelby County,MO,Dec-19,3060,2962,98,3.2
Stoddard County,MO,Dec-19,13062,12434,628,4.8
Stone County,MO,Dec-19,13731,13082,649,4.7
Sullivan County,MO,Dec-19,2661,2563,98,3.7
Taney County,MO,Dec-19,26567,25463,1104,4.2
Texas County,MO,Dec-19,9102,8642,460,5.1
Vernon County,MO,Dec-19,9397,9066,331,3.5
Warren County,MO,Dec-19,18029,17478,551,3.1
Washington County,MO,Dec-19,10282,9781,501,4.9
Wayne County,MO,Dec-19,5276,5029,247,4.7
Webster County,MO,Dec-19,17497,16772,725,4.1
Worth County,MO,Dec-19,1160,1128,32,2.8
Wright County,MO,Dec-19,7693,7072,621,8.1
St. Louis city,MO,Dec-19,153635,147586,6049,3.9
Allen County,KS,Jan-20,6282,6045,237,3.8
Anderson County,KS,Jan-20,4159,4003,156,3.8
Atchison County,KS,Jan-20,6951,6583,368,5.3
Barber County,KS,Jan-20,2294,2225,69,3
Barton County,KS,Jan-20,13134,12633,501,3.8
Bourbon County,KS,Jan-20,6585,6282,303,4.6
Brown County,KS,Jan-20,5352,5176,176,3.3
Butler County,KS,Jan-20,32722,31559,1163,3.6
Chase County,KS,Jan-20,1536,1491,45,2.9
Chautauqua County,KS,Jan-20,1425,1373,52,3.6
Cherokee County,KS,Jan-20,10107,9784,323,3.2
Cheyenne County,KS,Jan-20,1301,1269,32,2.5
Clark County,KS,Jan-20,1080,1053,27,2.5
Clay County,KS,Jan-20,3747,3621,126,3.4
Cloud County,KS,Jan-20,3735,3609,126,3.4
Coffey County,KS,Jan-20,4161,3944,217,5.2
Comanche County,KS,Jan-20,832,807,25,3
