County,State,Date,Total Labor,Employed,Unemployed,Rate
Clark County,KS,Jul-19,1076,1046,30,2.8
Clay County,KS,Jul-19,3698,3543,155,4.2
Cloud County,KS,Jul-19,3855,3700,155,4
Coffey County,KS,Jul-19,3938,3737,201,5.1
Comanche County,KS,Jul-19,866,840,26,3
Cowley County,KS,Jul-19,16197,15500,697,4.3
Crawford County,KS,Jul-19,18981,18073,908,4.8
Decatur County,KS,Jul-19,1275,1231,44,3.5
Dickinson County,KS,Jul-19,8829,8491,338,3.8
Doniphan County,KS,Jul-19,4260,4091,169,4
Douglas County,KS,Jul-19,63017,60715,2302,3.7
Edwards County,KS,Jul-19,1453,1405,48,3.3
Elk County,KS,Jul-19,1051,997,54,5.1
Ellis County,KS,Jul-19,17123,16645,478,2.8
Ellsworth County,KS,Jul-19,2793,2683,110,3.9
Finney County,KS,Jul-19,20704,20103,601,2.9
Ford County,KS,Jul-19,17151,16647,504,2.9
Franklin County,KS,Jul-19,14187,13614,573,4
Geary County,KS,Jul-19,11075,10510,565,5.1
Gove County,KS,Jul-19,1469,1433,36,2.5
Graham County,KS,Jul-19,1134,1092,42,3.7
Grant County,KS,Jul-19,3222,3107,115,3.6
Gray County,KS,Jul-19,3045,2971,74,2.4
Greeley County,KS,Jul-19,786,764,22,2.8
Greenwood County,KS,Jul-19,3076,2943,133,4.3
Hamilton County,KS,Jul-19,1588,1550,38,2.4
Harper County,KS,Jul-19,2786,2696,90,3.2
Harvey County,KS,Jul-19,17352,16755,597,3.4
Haskell County,KS,Jul-19,2211,2151,60,2.7
Hodgeman County,KS,Jul-19,1023,991,32,3.1
Jackson County,KS,Jul-19,7388,7143,245,3.3
Jefferson County,KS,Jul-19,10390,10046,344,3.3
Jewell County,KS,Jul-19,1293,1251,42,3.2
Johnson County,KS,Jul-19,348267,336795,11472,3.3
Kearny County,KS,Jul-19,2028,1970,58,2.9
Kingman County,KS,Jul-19,3495,3374,121,3.5
Kiowa County,KS,Jul-19,1244,1206,38,3.1
Labette County,KS,Jul-19,10075,9601,474,4.7
Lane County,KS,Jul-19,755,733,22,2.9
Leavenworth County,KS,Jul-19,37518,36005,1513,4
Lincoln County,KS,Jul-19,1639,1595,44,2.7
Linn County,KS,Jul-19,4545,4266,279,6.1
Logan County,KS,Jul-19,1505,1467,38,2.5
Lyon County,KS,Jul-19,16620,15935,685,4.1
McPherson County,KS,Jul-19,17268,16788,480,2.8
Marion County,KS,Jul-19,5926,5699,227,3.8
Marshall County,KS,Jul-19,5623,5442,181,3.2
Meade County,KS,Jul-19,2169,2109,60,2.8
Miami County,KS,Jul-19,17916,17273,643,3.6
Mitchell County,KS,Jul-19,3431,3335,96,2.8
Montgomery County,KS,Jul-19,14992,14269,723,4.8
Morris County,KS,Jul-19,2954,2862,92,3.1
Morton County,KS,Jul-19,1101,1059,42,3.8
Nemaha County,KS,Jul-19,5423,5238,185,3.4
Neosho County,KS,Jul-19,6252,5902,350,5.6
Ness County,KS,Jul-19,1368,1328,40,2.9
Norton County,KS,Jul-19,2768,2692,76,2.7
Osage County,KS,Jul-19,8199,7890,309,3.8
Osborne County,KS,Jul-19,2036,1986,50,2.5
Ottawa County,KS,Jul-19,3054,2958,96,3.1
Pawnee County,KS,Jul-19,2979,2889,90,3
Phillips County,KS,Jul-19,2566,2482,84,3.3
Pottawatomie County,KS,Jul-19,11908,11506,402,3.4
Pratt County,KS,Jul-19,4880,4729,151,3.1
Rawlins County,KS,Jul-19,1539,1497,42,2.7
Reno County,KS,Jul-19,29856,28759,1097,3.7
Republic County,KS,Jul-19,2296,2222,74,3.2
Rice County,KS,Jul-19,5402,5227,175,3.2
Riley County,KS,Jul-19,33609,32408,1201,3.6
Rooks County,KS,Jul-19,2530,2422,108,4.3
Rush County,KS,Jul-19,1671,1619,52,3.1
Russell County,KS,Jul-19,3312,3202,110,3.3
Saline County,KS,Jul-19,30632,29603,1029,3.4
Scott County,KS,Jul-19,2955,2885,70,2.4
Sedgwick County,KS,Jul-19,256515,246335,10180,4
Seward County,KS,Jul-19,9599,9229,370,3.9
Shawnee County,KS,Jul-19,93251,89765,3486,3.7
Sheridan County,KS,Jul-19,1394,1360,34,2.4
Sherman County,KS,Jul-19,2906,2808,98,3.4
Smith County,KS,Jul-19,1918,1854,64,3.3
Stafford County,KS,Jul-19,1959,1889,70,3.6
Stanton County,KS,Jul-19,990,960,30,3
Stevens County,KS,Jul-19,2543,2465,78,3.1
Sumner County,KS,Jul-19,11140,10700,440,3.9
Thomas County,KS,Jul-19,4358,4237,121,2.8
Trego County,KS,Jul-19,1434,1388,46,3.2
Wabaunsee County,KS,Jul-19,3746,3617,129,3.4
Wallace County,KS,Jul-19,814,786,28,3.4
Washington County,KS,Jul-19,2924,2830,94,3.2
Wichita County,KS,Jul-19,1220,1186,34,2.8
Wilson County,KS,Jul-19,3946,3761,185,4.7
Woodson County,KS,Jul-19,1611,1527,84,5.2
Wyandotte County,KS,Jul-19,79896,75561,4335,5.4
Adair County,MO,Jul-19,10140,9613,527,5.2
Andrew County,MO,Jul-19,9941,9614,327,3.3
Atchison County,MO,Jul-19,2623,2469,154,5.9
Audrain County,MO,Jul-19,10659,10239,420,3.9
Barry County,MO,Jul-19,15378,14804,574,3.7
Barton County,MO,Jul-19,5084,4848,236,4.6
Bates County,MO,Jul-19,7991,7608,383,4.8
Benton County,MO,Jul-19,6935,6578,357,5.1
Bollinger County,MO,Jul-19,5370,5134,236,4.4
Boone County,MO,Jul-19,97250,94392,2858,2.9
Buchanan County,MO,Jul-19,45581,43984,1597,3.5
Butler County,MO,Jul-19,17821,16928,893,5
Caldwell County,MO,Jul-19,4395,4233,162,3.7
Callaway County,MO,Jul-19,21803,21075,728,3.3
Camden County,MO,Jul-19,20653,19936,717,3.5
Cape Girardeau County,MO,Jul-19,40166,38781,1385,3.4
Carroll County,MO,Jul-19,4571,4400,171,3.7
Carter County,MO,Jul-19,2539,2411,128,5
Cass County,MO,Jul-19,55783,53813,1970,3.5
Cedar County,MO,Jul-19,5711,5447,264,4.6
Chariton County,MO,Jul-19,3522,3390,132,3.7
Christian County,MO,Jul-19,45633,44270,1363,3
Clark County,MO,Jul-19,3086,2965,121,3.9
Clay County,MO,Jul-19,139808,134274,5534,4
Clinton County,MO,Jul-19,10963,10480,483,4.4
Cole County,MO,Jul-19,39910,38710,1200,3
Cooper County,MO,Jul-19,7348,7060,288,3.9
Crawford County,MO,Jul-19,11135,10678,457,4.1
Dade County,MO,Jul-19,3383,3262,121,3.6
Dallas County,MO,Jul-19,7064,6782,282,4
Daviess County,MO,Jul-19,3924,3762,162,4.1
DeKalb County,MO,Jul-19,4894,4712,182,3.7
Dent County,MO,Jul-19,6062,5817,245,4
Douglas County,MO,Jul-19,4986,4776,210,4.2
Dunklin County,MO,Jul-19,11137,10389,748,6.7
Franklin County,MO,Jul-19,54209,52306,1903,3.5
Gasconade County,MO,Jul-19,7594,7332,262,3.5
Gentry County,MO,Jul-19,3525,3393,132,3.7
Greene County,MO,Jul-19,153320,149049,4271,2.8
Grundy County,MO,Jul-19,4241,4037,204,4.8
Harrison County,MO,Jul-19,3683,3544,139,3.8
Henry County,MO,Jul-19,9601,9187,414,4.3
Hickory County,MO,Jul-19,3883,3721,162,4.2
Holt County,MO,Jul-19,2500,2389,111,4.4
Howard County,MO,Jul-19,4721,4533,188,4
Howell County,MO,Jul-19,16304,15526,778,4.8
Iron County,MO,Jul-19,3510,3282,228,6.5
Jackson County,MO,Jul-19,371169,354459,16710,4.5
Jasper County,MO,Jul-19,57815,55771,2044,3.5
Jefferson County,MO,Jul-19,120563,116515,4048,3.4
Johnson County,MO,Jul-19,22833,21728,1105,4.8
Knox County,MO,Jul-19,1712,1651,61,3.6
Laclede County,MO,Jul-19,16771,16067,704,4.2
